#Hhst|H id|Ea|KTR komplett|Ktr bez|Ktr art|Kst|Kstst bez|Sk|Sk bez|Sk pos|Sk pos bez|Ep|Sk finre|Sk finre bez|Fp|Proj|Proj bez|J2011_ERG|J2011_FINERG|J2012_ERG|J2012_FINERG|J2013_ERG|J2013_FINERG|J2014_PLAN|J2015_PLAN|J2016_PLAN|J2017_PLAN|J2018_PLAN|J2019_PLAN
00000_14010|248752|E|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|44110000|Mieten und Pachten|E_01e|privatrechtliche Leistungsentgelte|1|64110000|Mieten und Pachten|1|||620.00|1 045.00|300.00|55.00|800.00|1 045.00|300|800|800|800|800|800
00000_15050|248753|E|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|44193000|Sonstige privatrechtliche Leistungsentgelte steuerfrei|E_01e|privatrechtliche Leistungsentgelte|1|64193000|Sonstige privatrechtliche Leistungsentgelte steuerfrei|1|||200.00|200.00|||12 839.33|12 839.33||0|0|0|0|0
00000_15080|248754|E|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|46952000|Periodenfremde Erträge - Allgemein|E_01i|sonstige laufende Erträge|1|66801000|Einzahlungen aus periodenfremden Erträgen|1|||778.07|991.57|22 815.88|22 852.38|12 240.83|12 240.83|0|10 000|10 000|10 000|10 000|10 000
00000_15085|248755|E|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|46951000|Rückzahlung Betriebskosten vom Eigenbetrieb KIJ (periodenfremd)|E_01i|sonstige laufende Erträge|1|64193000|Sonstige privatrechtliche Leistungsentgelte steuerfrei|1|||22 977.29|23 055.58|2 513.15|1 087.55|6 021.45|7 447.05|0|0|0|0|0|0
00000_17510|248756|E|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|41431100|Zuschüsse vom Eigenbetrieb Kommunalservice Jena|E_01b|Zuwendungen, allgemeine Umlagen und sonstige Transfererträge|1|61431100|Zuschüsse vom Eigenbetrieb Kommunalservice Jena|1|||||150.00|150.00|||0|0|0|0|0|0
00000_17550|248757|E|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|41445000|Zuschüsse von Sparkassen|E_01b|Zuwendungen, allgemeine Umlagen und sonstige Transfererträge|1|61445000|Zuweisungen für lfd. Zwecke von Sparkassen|1|||||1 000.00|1 000.00|||0|0|0|0|0|0
00000_17700|248758|E|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|41451000|Zuschüsse von privaten Unternehmen (Spenden)|E_01b|Zuwendungen, allgemeine Umlagen und sonstige Transfererträge|1|61451000|Zuschüsse von privaten Unternehmen|1|||||5 220.00|5 220.00|2 750.00|2 450.00|0|0|0|0|0|0
00000_17800|248759|E|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|41490000|Zuschüsse von Sonstigen (Spenden)|E_01b|Zuwendungen, allgemeine Umlagen und sonstige Transfererträge|1|61490000|Zuschüsse von Sonstigen (Rückzahlung)|1|||4 590.55|4 590.55|856.66|856.66|203.51||0|0|0|0|0|0
00000_40100|248761|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|50131000|Aufwandsentschädigung / Sitzungsgelder Stadtrat|E_02a|Personalaufwendungen|1|70130000|Auszahlungen für ehrenamtliche Gemeindeorgane, Auschüsse und Organe der Ortschaften|1|||-159 024.00|-159 935.00|-153 949.00|-154 164.00|-153 103.00|-154 696.00|-180 000|-167 150|-167 150|-167 150|-167 150|-167 150
00000_40110|248762|A|11130000|Gremien (P)|7|11200|Bereich des Oberbürgermeisters|50132000|Aufwandsentschädigung / Sitzungsgelder Ortsbürgermeister und Ortschaftsräte|E_02a|Personalaufwendungen|1|70130000|Auszahlungen für ehrenamtliche Gemeindeorgane, Auschüsse und Organe der Ortschaften|1|||-146 928.00|-146 347.00|-146 468.59|-146 343.00|-142 120.00|-140 432.59|-160 820|-145 820|-145 820|-145 820|-145 820|-145 820
