"Filter";;;;
;;;;
"Ergebnisplan 2013 (Aufwendungen)";;;;
;;;;
"Teilplan";"Titel";"Ansatz 2013 (Euro)";"Ansatz 2012 (Euro)";"Ergebnis 2012 (Euro)"
32;"Stadtentwicklung und Stadtplanung";3666820,00;4005050,00;"n.a."
34;"Bauen und Umwelt";3758730,00;3787290,00;"n.a."
21;"Finanzen";5296140,00;4760460,00;"n.a."
26;"Bürgerdienste";7603800,00;7786490,00;"n.a."
11;"Verwaltungsführung, Rechnungsprüfung, Personalrat, Gleichstellung und Integration";7912460,00;6857160,00;"n.a."
12;"Recht und Personal";8614560,00;8662280,00;"n.a."
43;"Kultur und Marketing";15200000,00;13070000,00;"n.a."
90;"Zentrale Finanzdienstleistungen";15515720,00;17566970,00;"n.a."
25;"Ordnung und Sicherheit";17242750,00;16960190,00;"n.a."
36;"Stadtumbau";21447360,00;18956970,00;"n.a."
42;"Gesundheit und Soziales";63773610,00;63237090,00;"n.a."
44;"Jugend und Familie";93452860,00;85816630,00;"n.a."
;"Summe";263484810,00;251466580,00;"n.a."
