"Filter";;;;
;;;;
"Ergebnisplan 2011 (Erträge)";;;;
;;;;
"Teilplan";"Titel";"Ansatz 2011 (Euro)";"Ansatz 2010 (Euro)";"Ergebnis 2010 (Euro)"
32;"Stadtentwicklung und Stadtplanung";618800,00;"n.a.";"n.a."
21;"Finanzen";619340,00;"n.a.";"n.a."
11;"Verwaltungsführung, Rechnungsprüfung, Personalrat, Gleichstellung und Integration";636320,00;"n.a.";"n.a."
34;"Bauen und Umwelt";2145990,00;"n.a.";"n.a."
12;"Recht und Personal";2296810,00;"n.a.";"n.a."
36;"Stadtumbau";5749790,00;"n.a.";"n.a."
26;"Bürgerdienste";5772030,00;"n.a.";"n.a."
25;"Ordnung und Sicherheit";10139470,00;"n.a.";"n.a."
44;"Jugend und Familie";27893850,00;"n.a.";"n.a."
42;"Gesundheit und Soziales";40420300,00;"n.a.";"n.a."
90;"Zentrale Finanzdienstleistungen";146821600,00;"n.a.";"n.a."
;"Summe";243114300,00;"n.a.";"n.a."
